========================================
Antarctic_Heat 调参结果汇总
生成时间: 2026-04-23 15:14:15
========================================

格式: window_size | contrastive_weight | learning_rate | MSE | MAE | best_epoch
2 | 0.00005 | 0.0002 | 0.1495269387960434 | 0.2654160261154175 | N/A
2 | 0.00005 | 0.0005 | 0.1519664227962494 | 0.26839444041252136 | N/A
2 | 0.00005 | 0.0012 | 0.14947611093521118 | 0.26500043272972107 | N/A
2 | 0.00005 | 0.001 | 0.15389040112495422 | 0.26922205090522766 | N/A
2 | 0.00005 | 0.002 | 0.16211558878421783 | 0.28006240725517273 | N/A
2 | 0.0001 | 0.0001 | 0.14855243265628815 | 0.2650291323661804 | N/A
2 | 0.0001 | 0.0002 | 0.14976993203163147 | 0.26567181944847107 | N/A
2 | 0.0001 | 0.0005 | 0.15051066875457764 | 0.2664463222026825 | N/A
2 | 0.0001 | 0.0012 | 0.15234674513339996 | 0.2672794461250305 | N/A
2 | 0.0001 | 0.001 | 0.15160517394542694 | 0.26695671677589417 | N/A
2 | 0.0001 | 0.002 | 0.15188466012477875 | 0.26314103603363037 | N/A
2 | 0.0005 | 0.0001 | 0.14853525161743164 | 0.26512810587882996 | N/A
2 | 0.0005 | 0.0002 | 0.14995217323303223 | 0.2656921148300171 | N/A
2 | 0.0005 | 0.0005 | 0.1510830968618393 | 0.26610663533210754 | N/A
2 | 0.0005 | 0.0012 | 0.14975856244564056 | 0.2639816403388977 | N/A
2 | 0.0005 | 0.001 | 0.15293656289577484 | 0.2683982253074646 | N/A
2 | 0.0005 | 0.002 | 0.1556713730096817 | 0.2674727439880371 | N/A
2 | 0.001 | 0.0001 | 0.14867153763771057 | 0.2653728723526001 | N/A
2 | 0.001 | 0.0002 | 0.15036900341510773 | 0.26606449484825134 | N/A
2 | 0.001 | 0.0005 | 0.15028244256973267 | 0.26489436626434326 | N/A
2 | 0.001 | 0.0012 | 0.1517028957605362 | 0.26589667797088623 | N/A
2 | 0.001 | 0.001 | 0.15255409479141235 | 0.26589876413345337 | N/A
2 | 0.001 | 0.002 | 0.15583541989326477 | 0.267208993434906 | N/A
2 | 0.005 | 0.0001 | 0.1492139846086502 | 0.2657266855239868 | N/A
2 | 0.005 | 0.0002 | 0.15162977576255798 | 0.26726800203323364 | N/A
2 | 0.005 | 0.0005 | 0.15321685373783112 | 0.2676273286342621 | N/A
2 | 0.005 | 0.0012 | 0.15132062137126923 | 0.2665300965309143 | N/A
2 | 0.005 | 0.001 | 0.1510358601808548 | 0.26619839668273926 | N/A
2 | 0.005 | 0.002 | 0.1608639508485794 | 0.2719648778438568 | N/A
2 | 0.01 | 0.0001 | 0.15006668865680695 | 0.26693204045295715 | N/A
2 | 0.01 | 0.0002 | 0.1513645052909851 | 0.2675120234489441 | N/A
2 | 0.01 | 0.0005 | 0.15285596251487732 | 0.2682834267616272 | N/A
2 | 0.01 | 0.0012 | 0.1524040251970291 | 0.26817959547042847 | N/A
2 | 0.01 | 0.001 | 0.15893974900245667 | 0.27240169048309326 | N/A
2 | 0.01 | 0.002 | 0.15113046765327454 | 0.26447793841362 | N/A
3 | 0.00001 | 0.0001 | 0.14828753471374512 | 0.2645699083805084 | N/A
